ntoken,exchangename,ssymbol,sisincode
501242,BSE,TCIFINANCE,INE911B01018
532629,BSE,MBECL,INE748A01016
14747,NSE,011NSETEST,DUMMYSAN005
14751,NSE,021NSETEST,DUMMYSAN006
14753,NSE,031NSETEST,DUMMYSAN007
14755,NSE,041NSETEST,DUMMYSAN008
14758,NSE,051NSETEST,DUMMYSAN009
14762,NSE,061NSETEST,DUMMYSAN010
14764,NSE,071NSETEST,DUMMYSAN011
14767,NSE,081NSETEST,DUMMYSAN012
14769,NSE,091NSETEST,DUMMYSAN013
14772,NSE,101NSETEST,DUMMYSAN014
14774,NSE,111NSETEST,DUMMYSAN015
12841,NSE,11NSETEST,DUMMYSAN001
14777,NSE,121NSETEST,DUMMYSAN016
14778,NSE,131NSETEST,DUMMYSAN017
14781,NSE,141NSETEST,DUMMYSAN018
14782,NSE,151NSETEST,DUMMYSAN019
14784,NSE,161NSETEST,DUMMYSAN020
23446,NSE,171NSETEST,DUMMYSAN021
23447,NSE,181NSETEST,DUMMYSAN022
4,NSE,21STCENMGM,INE253B01015
514394,BSE,AJIL,INE022N01019
521167,BSE,MAXGROW,INE485D01035
526683,BSE,UNIVAFOODS,INE275F01019
500174,BSE,GLFL,INE540A01017
445,NSE,5PAISA,INE618L01018
11868,NSE,63MOONS,INE111B01023
20910,NSE,A2ZINFRA,INE619I01012
12533,NSE,AAATECH,INE0D0U01013
23729,NSE,AADHARHFC,INE883F01010
504378,BSE,NYSSACORP,INE812K01027
504731,BSE,AZADIND,INE566M01017
505502,BSE,PSITINFRA,INE953M01033
507808,BSE,UNTTEMI,INE357P01014
507813,BSE,NOL,INE296D01010
508918,BSE,IRONWOOD,INE791H01011
13775,NSE,AARVEEDEN,INE273D01019
509874,BSE,SHALPAINTS,INE849C01026
512064,BSE,VISVEN,INE762D01011
512068,BSE,DECNGOLD,INE945F01025
19073,NSE,AARVI,INE754X01016
16961,NSE,AATMAJ,INE0OB201016
5385,NSE,AAVAS,INE216P01012
10,NSE,ABAN,INE421A01028
512093,BSE,CRANESSOFT,INE234B01023
21614,NSE,ABCAPITAL,INE674K01013
7787,NSE,ABCOTS,INE08PH01015
27016,NSE,ABINFRA,INE00YB01017
512117,BSE,TWIROST,INE436U01016
513403,BSE,PMTELELIN,INE092C01015
513456,BSE,KANSHST,INE791E01018
20488,NSE,ACCENTMIC,INE0Q5D01013
513498,BSE,SOUTHMG,INE308N01012
757021,NSE,ACCPL,INE0T8T01010
1465,NSE,ACCURACY,INE648Z01023
13587,NSE,ACE,INE731H01025
514197,BSE,STCORP,INE110Q01023
12024,NSE,ACI,INE128X01021
514211,BSE,SUMEETINDS,INE235C01028
13688,NSE,ACLGATI,INE152B01027
30464,NSE,ACTIVEINFR,INE0KLO01025
248,NSE,ADL,INE0CHO01012
519136,BSE,NAHARINDUS,INE289A01011
519479,BSE,OMEAG,INE112B01013
14813,NSE,ADSL,INE102I01027
14745,NSE,ADVANIHOTR,INE199C01026
522261,BSE,DOLPHIN,INE920A01037
531322,BSE,HAVISHA,INE293B01029
757336,NSE,AEGISVOPAK,INE0INX01018
12015,NSE,AEROENTER,INE065D01027
